client_id,created_at,recycled_at,ticket_id,anomalía,cantidad,recycled_qt,non_recycled_qt,Brand,recycled_platform,points_used
699fd955-172c-422d-a8e1-fb3db3504704,27/08/2021,06/06/2023,20854,true,91,77,14,Crunchies,Web,229
c394202a-c6ab-4148-8c25-5cf995c6993b,06/11/2020,10/11/2020,896100,false,73,11,62,Crunchies,Mobile,56
f6c4aec4-e718-41db-b510-9ea2738bb87f,03/03/2020,09/03/2020,618038,true,92,28,64,Savory Delights,Web,201
31147e35-990b-498e-8653-778d9b1564ea,17/12/2020,27/12/2020,191244,true,43,39,4,Savory Delights,Web,256
2763048c-5c6c-4550-823d-71d01016cfa2,18/12/2020,27/12/2020,672633,true,17,3,14,Scrumptious Cuisine,Mobile,54
6539d22f-3728-458e-bea5-f02c3dfd8891,03/06/2021,12/06/2021,705235,false,88,35,53,Crunchies,Web,38
e504a81f-196b-42a8-b5fa-7f1858c20212,18/01/2020,18/01/2020,279931,false,68,32,36,Crunchies,Web,115
085da153-4a3d-448c-a94e-d8104f391144,14/03/2020,21/03/2020,572514,false,49,3,46,Scrumptious Cuisine,Mobile,159
f38bdbd4-75f7-4662-b617-569f2860e998,23/05/2021,29/05/2021,322504,true,16,0,16,Gourmet Goodies,Web,101
aa3723d9-c481-4d68-9967-ebb92b896d7f,05/05/2021,13/05/2021,892249,false,30,23,7,Yummy Treats,Mobile,34
f053e1a7-be56-4773-92a3-b9d2a493ae32,16/03/2021,22/03/2021,992620,true,71,13,58,Yummy Treats,Web,117
18099676-55e7-4f75-9005-2558e18b7fb9,25/08/2021,30/08/2021,259697,false,92,53,39,Crunchies,Mobile,88
58208688-d194-4b2c-9b0a-2a3f6c709cd5,11/02/2020,12/02/2020,890724,true,22,18,4,Yummy Treats,Web,153
38da73bd-7fbe-41e7-be1d-19f4f3d8b886,12/03/2021,13/03/2021,346060,false,27,23,4,Taste Temptations,Web,138
7cca0b09-5b92-4b7f-bd70-205f68cde690,30/07/2021,07/08/2021,391219,false,53,43,10,Yummy Treats,Mobile,65
546963d7-36b6-4698-a33c-121cee6b3141,11/04/2020,12/04/2020,147605,true,69,15,54,Savory Delights,Mobile,167
cdfc5c39-2362-4b17-ac58-426a777ee137,10/05/2021,14/05/2021,101345,false,35,2,33,Savory Delights,Mobile,270
dad48f96-10a3-487e-b667-4b013b9df32d,18/03/2020,26/03/2020,722170,false,93,34,59,Savory Delights,Mobile,193
a269147a-0eee-41fc-98ec-a6785714dc9b,08/09/2020,14/09/2020,461107,false,74,19,55,Gourmet Goodies,Web,108
32b821c8-6826-4ecc-a300-c0b912baf463,09/03/2021,18/03/2021,868468,false,38,14,24,Scrumptious Cuisine,Web,219
cdfc5c39-2362-4b17-ac58-426a777ee137,29/04/2020,08/05/2020,392252,false,29,24,5,Gourmet Goodies,Mobile,8
085da153-4a3d-448c-a94e-d8104f391144,02/10/2021,06/10/2021,652230,false,28,10,18,Crunchies,Web,2
